,text
115,西川ちゃんが西城秀樹の曲をカバーしてるのを何かのTVで見たとき、ふたりは声が似てるんだなーと思ったことを思い出した
116,もしくはワンピース
117,キムタクの娘さん、ジョジョに出てそう
118,PCが壊れちゃったので泣いてる
119,好き
120, あ、なるほど！まくろたんほど寛大な人はいないと思う。ただ、ハキハキキッチリ型の印象は確かにあるので、ゴールデンレトリバーよりはヨークシャテリアかもとは思うw
121, 日曜日夜の焦燥感よりも金曜日夜の終末感の方が好きなんですよねー
122,PSVR買う
123, 全然そうみえない
124, 初めて一人暮らしをしたときにさ、生まれてからずっと同じ人達と暮らしていた場所から物理的に離れるじゃない。あのとき感じたことに近いのかなと思うんだ。引っ越す前までは、もうこの土地やここで出会った人達ともお別れかと思うんだけど、いざ引っ越してみるとそんなことはないんだよねぇ
125,新しい技術を見るとすごいと思う一方なんか焦燥感に苛まれてしまい休まらなくてつらい
126, 今超売り手市場だから、もっといいところいっぱいあるよ‥！
127, 今はSEやってるよー。大学時代あんなに嫌がってたプログラミングやってるww 染めたんはどんなお仕事してるの？ そうなの、要らないって言われた気がしてへこむ‥‥‥w
128, 私の職場は、怒られないんだけど、スッて別の仕事速い人に振られてる。。これが地味にとても哀しいし効く
129,赤身のマグロのお刺身になって少しでも食べる人の力になりたい 
130,赤身のマグロになりたい 
131, ううん、ひとりでたまに行く八重洲の飲み屋w エビスバーなんてあるの？？
132,なんかもう色々嫌になってしまって 
133, それな‥‥。ちゃんと言ってほしいよね。「いつでもいいよ（いつでもいい訳じゃない）」って辞めてほしい
134, 金曜と土曜が一生交互に続いてほしすぎる
135,どれもおいしそう
136, 結婚！！
137, 華金だ〜〜〜〜〜
138, 今日は金曜日
139,いつでも良いと言われたものはすぐやることにしたら、仕事量が粗密波のようになった
140,これめっちゃわかる。期限聞くと「逆にいつまでにできますか？」と聞かれて更に混乱する。
141,デザインができないので、誰かにやってもらいたい
142,デザインを誰かに有償でお願いしたい
143, いこう
144,今月は不思議な月だな
145,ご当地キャラ達が行進を始めた 
146,めっちゃ晴れてる 
147,きもちいいー 
148, 引退してしまうんですか？？
149, ロマン地下だよね？去年の2月になくなっちゃったんですよー。全然人入ってなかったからねーww良い飲み屋さんはいっぱいあるよ！！
150,「予め決めた時間しか働いたとみなされない「裁量労働制」」って、裁量労働制ってそんな意味だったっけ？ 
151,  会社の飲み会だとけむりが評判良かった。その後も色んな人が幹事で使ってた。南口の飲み屋街は、なくなってしまいました‥‥。
152,  日本酒系なら風味、焼き鳥ならがんぼ、馬肉なら馬の丈とかおすすめ（鍵垢からこっそり）
153,ナポリタンとおにぎり、近しいものがある
154, ええっ、えっと、今日かな？？
155,京成立石とか
156,私は蒲田などの羽田空港に近い場所に引っ越した方がQOLが上がるのではないか？
157,最近レペゼン地球の見すぎで、箇条書きの文章見ると脳内でラップ調に読んでしまう
158,最近この感覚がわかる。。自信がないんだよねぇ 
159,でもヨーロッパ、なかなか遠いんだよなぁ・・を解決してくれるのが、多分ウラジオストク
160,街歩きが好きな旅行者が集まっていたのも良かった
161,街歩きで中央ヨーロッパに勝る場所、なかった気がする。東だってもちろん良い
162,街を歩くためだけにヨーロッパ行きたい
163," なんというつらい事故。。取っ手付き導入しよう
"
164," 御茶ノ水は行きやすくて助かる！御茶ノ水開拓してみたかったからとても気になる！！
最近、行けないのがこわくて約束するのがこわい負のループに陥っているよ‥‥‥"
165," 良いバー気になる〜。場所どこ？私も町田のバー友達に教えてもらったから行きたさある。
いつが良いかなぁ。ここずっと、土日に動ける自身が無くて‥‥‥"
166,キニラオとカラマリがまざってしまう
167,最近レペゼン地球の動画を見てるときだけが元気
168,うう‥‥‥尊い‥‥‥‥‥
169,しにたいときに樹海へ誘ってくれる友達、最高の友達すぎる
170, い゛ぎだい゛
171,しにたい
172,なんにも考えてないと仕事を優先してしまう。そっちの方が楽だから。はー。
173,仕事を優先するのって本当に簡単である
174,仕事って便利だなあ。「仕事」の枠組みの中で生きている間、とても簡単に自己肯定感みたいなのが生成されるので、気を抜くと自分の人生より仕事を優先してしまう。本当に簡単に優先しちゃう
175,何も考えずに返事できるようになりたい
176,後頭部の下のほうがずんやり重い。。
177,昨日、3食うどんにしちゃった
178,何もかも嫌になったとき、うどんを食べがち
179,牛乳〜
180,てかめっちゃ寒くない？？
181,コーディングここですれば良いのか。PHP読めないなあw
182,お、wordpress慣れてきた気がする
183, 大きな決断だもんねぇ。それに、たくさんの人たちと縁を切るというこわさがある
184,wordpressのGUI操作に慣れない‥‥‥。タグ書き換えさせてほしい
185,仕事を辞める、転職するということは、勇気の要ることだなあ
186,梅雨が来たのかな？
187, おめでとう！
188,これ本当にそう思う。24歳じゃなかったらホンジュラスとかエルサルバドルとか行けなかったと思う。あと連日夜行バスで12時間とか21時間とかもキツかったと思うw若さの選択肢は何物にも代えがたい
189, しかもおかわりし放題！幸せプレートだよ〜〜〜
190,ペニスカフェ行くためだけに韓国行きたい
191,ドメイン取得にめっちゃ悩んでる。名前決めさせないでほしい‥‥こまる
192,wordpressを勉強するときがきた
193,見積もり、難しすぎる
194,今日は出勤しただけでえらいので特別手当て出してほしい 
195,しかし歳を感じたなー。いつまでこんなサバイバル旅行できるかなあ
196,一週間ぶりのお湯シャワー気持ちよすぎる
197,しかし今回かなりお金使った‥‥‥。学校行ったから仕方ないけど、事前に払った分も現地で払った分もどちらもかなりいった。反省するべき事案
198,一日ゆっくりできるし、昨日のうちに病院にも行けたし納豆でビールも飲めたし
199,土曜の午前中帰国にして良かったなー。
200,子供の頃の夏の日、常に中耳炎になってて何年も毎週病院行ってた記憶しかない。大人になっても中耳炎から離れられないなあ
201,むかしダイビングしたときと耳の様子が全く同じである。放置してたけど、あの頃も中耳炎だったんだろうなぁ。
202,孫悟空の気持ちが理解できてしまった
203,中耳炎だけが原因で、飛行機搭乗中に頭全体が締め付けられるように痛くなったり、痛みから舌の付け根が痺れたり、目の奥のほうが異常に疲れたりするかなあ
204,減圧症の外来、祝日やってなかったので耳鼻科。中耳炎だった
205,楽しかったが、忙しかった。常に時間に管理されていた気がする。こんな海外旅行初めてかも
206,私、身体的にダイビング向いてないんだろうなあ。初心者とはいえ今のところ100%問題抱えてるもんな
207,ドゥマゲテ楽しかったなー
208,搭乗前にマッサージ行くの日課になってきてる
209,完全に太った。かなしい
210,忙しい一週間だった‥‥
211,太った。。。
212, そうなのかー。帰ったら病院かな。。
213,減圧症のとき、どうしたら良いんだろ。病院へ行くべき？
214,しかし減圧症になっている気がしますね？
215,帰りたくなさ過ぎて別便のチケットを探しちゃったけど、ちゃんと帰ろう
216,ずっと頭が痛い。知恵熱かな？
217,昔の自分と比べて、臆病で、行動力が無いなあ。情けないと思っていたけど、これでも割と行動力あると思って良いのかも
218,今日は語り明かしてしまった‥‥‥早く寝ないと‥‥
219,今回はきっと、ここへ行きなさいってかみさまが導いてくれたんだと思う。という出来事がたくさんあった
220,自分からどんどんやっていくバイタリティが‥‥ない‥‥‥‥‥
221, ひとりニューヨークかっこいいな！ホテルどこにしたの？相浦と旅行してみたいなー
222,まじで、土曜の朝の便にすればよかった後悔がやばい。金曜夜飲めないのつらい
223,潜水したあとのビール最高すぎる 
224,フィリピンに来た第一目的が達成された（見たこともないフィリピンビールを飲む） 
225,全然ビール飲んでないので一日が締まらぬ
226,自己紹介って苦手だなー。いつまでも苦手だな
227,あのときと違うのは、年齢と、時間がないということ
228,英語が話せなくて泣いたメキシコでの夜と同じような気持ちになってる
229,ドゥマゲテについたー 
230, え！そうなの！？
231,一日2ダイブだから午後はゆっくりなのかな
232,今回の旅行、のんびりする時間がゼロ
233,かわいい名前 
234,GW価格でゲロ高航空券だったけど、LCCだからサービスとかないの悲しい。受託手荷物もない。あんなに高かったのに。かなしい
235,今年もしらない場所へ行けたなあ 
236,どうして私はいつも荷物が多いんだろうー
237,これはまじで加齢だと思う
238,ひとりで個人旅行は荷が重いという人の気持ちがここにきて理解できてしまった
239,人と喋ったりとか場当たりで問題解決していかなきゃいけないとかがなんだかもう面倒臭くて面倒臭くて、嫌になってる
240,無理くりチケットを取って、ダイビングを予約したり、予定を入れたんだけど、空港についても尚なんかもう面倒臭くて、加齢を感じる
241, すてきだ
242, 転職するの？？
243, あるあるだよねー。小さなタイミングが合わなかったー。考えることが多くて旅行ってたのしい
244, わかりしかない
245, おめでとう〜〜。人生は長いよ。焦らずだよ
246,土曜日早朝出発は失敗だった気がするなー。せめて10時とかにするべきだった。航空券の値段で決めたんだけど、結局無駄にお金かかってるし
247,かわいい
248,セブで土日の1日半、何して過ごそう
249,vim cheat sheetをプリントアウトして机に貼っておけば良いのかも
250,vimもっとちゃんと勉強したいけど無理だなー
251, くぱくぱ
252, おまんこ
253, 勉強したいことがたくさんありすぎてってことだってばよ〜〜〜
254,毎日14時間くらい勉強してて勉強する時間がないという謎の状態に陥っている
255,もうあと5日後にはフィリピンってやばくない？
256,ウルグアイとエクアドルの行き損ねた感よ
257,やっぱ根がオタクだからコレクターしたり数稼いだりしたくなっちゃう
258,色んなところ行ったけど、一番滞在したのはメキシコかグアテマラの一ヶ月ちょいと短いから、一度がっつり住んでみたいな
259,順調に数ばっかり稼いでいる
260, 人はわからないからこわいよねぇ。外国人だと、わからないのが当たり前だからなんかこわいを通り越してこわくなくなるみたいなところがあるw
261, わかる
262,記念すべき35ヶ国目は、人生の大先輩が愛した国になる 
263,高い時期というのはたしかにあるが、それよりもなによりも速さが足りない
264, 最近は昔ほどじゃないと感じるけど、でもそういう側面はあるかもねぇ
265,夏こそは夏こそは安い時期の間に航空券を取るぞ
266,せっかくの9連休なのに日和って7泊にしたの、どうだったかなぁ。でも1日半ゆっくりやすめるのも9連休の良さなのかも。。
267, わかる。でも、日本人よりこわくないかもって昔から思っちゃう。なんでだろうねー
268, 仕事やめて一緒にフィリピンいこ
269, おいしそう
270,GWに命を燃やしてる人みたいなお金の使い方した。。。
271,ゲロ高航空券を取った
272, そうだよねぇ。痛ましいほど天才だと思うけど、その才能を止めずにいてくれて有り難いなあって思ったよ。昨日からAviciiばっかり聴いてるよ〜かなしいなー笑
273,ビールを飲みたいが勉強もしたい
274,これがほしいー
275,"衝撃すぎて、とてもかなしい。生きてるうちにあなたを知れて良かった。ありがとう
Swedish DJ Avicii Dead at 28 "
276,今のところなにもかもが本当にすごくいい会社なんだけど、もしも次継続されなかったとき、もう頑張らなくていいんだって思っちゃいそう。
277,月の体調のせいだとわかってはいるけど、あれもこれも後ろ向きに考えては堂々巡りしてる
278,すごいネガティブになってる
279, つらいやつだ。。。
280, パジャマで歴代コナン映画合宿したすぎるーやりたすぎるー。太田の2連休に合わせる感じかな！
281,女の子の3人組、好きだなあ
282, 違法にならない程度にいじってくれるって文章がかっこよくてじわじわきてるww 太田が話を聞いてくれてなんだか気持ちが楽になったよー、ありがとうね。八王子の漢方薬局さんなくなっちゃったな‥‥‥探してみるーありがとうー
283, 専門技術には積極的にお金を払っていきたい所存‥！ごはんに行こう。太田のおうちで映画コナン見たい（お金払うどころかお邪魔しようとしていることにここで気づいてしぬ）
284,共感能力自動補完API、ほしすぎる
285,お薬の専門家にお薬の知識を分けてもらったので、お金を払いたい
286,こういうの苦手っぽいから脳みそにCNN入れて自動でクラスタリングしてほしい
287, プレフェミン、副作用にPMSの悪化ってあって震えてるw てきめんに効く人と副作用強く出る人とで分かれるみたいだねー。色々詳しく教えてくれてありがとうね。漢方薬局とかあるよね。そういうところに行ってみるのも手なのかもだねー
288, 研究デザイン！！その観点かっこいいな！プレフェミン  研究デザインでググると出てくる？
289,"ある友人の中で、
借金≒お金を借りていること
という意味でしかなかったために、上記の認識で物を言ってたら各方面で色々揉めてた話と同じだな。。借金にネガティブな意味を含まない友人と、ネガティブな意味を含んでいる他の人とでよく揉めていた。私も同じことをしていた。反省しよ。。"
290,"自分の中では、病気も障害もネガティブな印象がなく、
病気≒治るもの
障害≒治らないもの
くらいの意味しかなくて、上記の意味合いで病気とか障害とか使うと誤解を受けるということがやっとわかってきた"
291," 思い込みと疑心暗鬼めっちゃわかる‥。症状が治まってくると冷静に対処すれば良いって思えるのに、その時は罪悪感とか色々で泣きそうになる。。
薬も出てきてありがたい時代になったよね。私も薬探してみる。ルビーナめぐり・命の母ホワイト・プレフェミン‥‥どれが良いのかな、何が違うんだろ‥‥。"
292," 思い込みかもだけど、実際稼働日少ない訳だし損だよね。。信頼失うって被害妄想がまたつらいよー‥‥。。
ええええ、ほんとに？病院行った意味よ‥‥‥。ほんと最近だよね、生理とかPMSとか理解されてきたの。市販薬も結構あるんだね、飲んでみようかなー"
293,"pmsの薬を詳しく解説！気になる効果や口コミは？ ｜ PMSのお悩み解決！ 
色々あるなあ"
294,世紀末の魔術師すき
295,コナンのイケメンたち、登場時の時代を反映していると感じる
296, 太田もかー、困るよね。。生理始まると症状改善するから対処を先延ばしにしちゃってたけど、結構まずい気がしている。。上司に状況説明はして理解はしてもらったけど、仕事は滞るし信頼失うし、何より自分がつらいよねぇ。追い詰められる。。ピル飲んで良くなるのかな、病院行ってみようかな
297,プレフェミンってやつが良いのかな
298, つらいよね。。今年入ってからPMSが原因で連日欠勤を毎月やってしまってる。。あれって薬とかあるのかな
299,PMSが原因で仕事辞めそ。。。
300,映画とか漫画とか、何かに頼って元気をだしたい
301,死にたくなってきた
302, そろそろ生きるのも飽きてきたし死に時
303,年が変わってからというもの、身体も精神もどっちもおかしい
304,先月から体調がおかしい
305, しぬかーーーー。最近、そろそろいいかな感で満たされてる
306, わかる死にたい
307,ミンダナオ島
308,ミンダナオ島‥‥行きたかった‥‥
309,大体、異常なほど嫌なことって、自分の中に原因があったりする
310,話を被せられるのが嫌いすぎて不愉快すぎて嫌いすぎるあまり自分の人格に何か問題があるのではと自己分析を始めている
311,何年も前の旅行記では、セブ以上に安全な街と書いてあったのに、かなしい
312,ミンダナオ島に行くで心が固まってわくわくしてたのに、安全面調べたらこれはちょっとNGだった‥‥‥
313,日本人いっぱいなのかなたあ
314,セブってどうなのかなあ
315,みんなしにたいのかな
316,朝からランナー聞いてどきどきしてる
317, わかりすぎる
318, わかる
319, 自動化技術の仕事をしていて思うんだけど、人間しかできないことをやるための時間を作ってくれるのが機械化なんだと思う！たしかに、高度なことを知っている人とそうでない人とで大きく差が出ちゃうようにはなるかもだねぇ
320, 割と失敗が許されない部分だし、機械がざっくり提案→人間が精査の二馬力が良いのではないかなーと思うなあ。機械100パーにはならなくて、人間の役割が変わるんだと思う！
321,こういうの、機械学習の得意分野だと思う 
322, おお！台湾！楽しんで〜
323,最近EDMかreggaetonかミックスしか聞いてない。。
324,頭がおかしいので最近こんなのばっかり聞いてる　【レペゼン地球】21thシングル『あげほい』  via 
325,ふぉい、タクヤさんっぽさがある
326,【レペゼン地球】11thシングル『リメンバー』  
327,レペゼン地球のDJふぉいが好みすぎて最近頭がおかしくなってる
328, えら
329,この曲、後ろで鳴ってるキーボードの音が気持ち良くて格好良くてとても好き 
330,どこかへ行きたいだけで、行きたいところがあるわけではないんだろうなぁ
331,言われたことその日中にできたことないのでは？
332,仕事早くなりたすぎる
333,仕事が遅すぎてつらい
334,尊すぎる
335,0から1が苦手なんですね
336,生まれて初めて深層学習のモデル構築するのでどきどきしてる
337,生まれて初めてのことをするとき、どんなことでもどきどきする
338,先にひとりで行って良いものか
339,でも、ラオスは咲ちゃんと行く約束してるんだよなー
340,こういうのは縁。ページ見たときにぴったりの便があるところは、旅行先が手招きしてると思っている。
341,バンコクはまだ割と良い便が残っている
342,タイandラオスか、ブルネイandマレーシア、どっちも良い〜
343,ブルネイかタイかで迷ってる
344,ひとり旅久しぶりだなあ
345,９日あるなら、マレーシア・インドネシア・ブルネイとかこの辺周遊するのもいいなあ。
346,ブルネイって何があるのかな
347,ラオス
348,今日は疲れたから帰り道勉強しないでGW何するか考えよ
349, おめでとう〜〜〜室外機いっぱいつけまくれ〜〜〜
350,上司、一生懸命聞いてくれる
351,めっちゃ一生懸命喋ってるのに文法が崩壊していて、意味のあることを言ってるっぽいんだけど何言ってるか全然わからないみたいな、驚異的な言葉を喋ってしまう日がある。あれ話される方は大変だろうなぁ。。。
352,言葉が全然喋れなくなっちゃう日がたまにあって、今日がそれだった。上司と話すときもアウアウしまくってた。「はい？」って顔めっちゃされながら一生懸命伝えた
353,楽しいお花見してる 
354, み−たん！！ありがとうありがとうね。好きなものを好きなだけ食べて、ストレス解消してたら、就職してから5kg増えたよー。。。。笑
355,はー憂鬱だ
356, 塗りつぶそう！
357, お疲れさま
358,嫌なことがあったときに代わりに匿名で呟いてもらう、つらい箱ができました。王様の耳はロバの耳ー！したいときとかにどうぞ使ってもらえたら嬉しいですー  
359, 毎日ひとつ頑張ってるってことだなー。すごいよ
360, 一つ頑張ったら、ビール。私も真似しよw
361,相談しやすいのがきっと一番なのかなあと思う。私が一番良くなくて、自分で自分の人生をダメにしているところは、気を抜くとすぐに殻に篭って出てこなくなるところだと思うので。
362,今この２人がメンターで、間にぶら下がっている感があるんだけど、来年度から徐々にどちらかに寄っていく必要があり、決めなくてはいけない。
363,どちらの方が自分と相性が良いのだろうかなあ。
364,誰にでも声かけして助けるから、色んな人の仕事を巻き取りがち。それを残業でカバーしているところがあり、労働時間が長い。でも無理しないタイプで、休みは多め。本人には批判的でないが影で言っているきらいがある。私自身の成長にならないなーと思うことがある。理解よりも共感寄りで動く。
365,上司２。かなり優しい。割と甘い。チームビルディングがめっちゃうまい。誰にも話せないような悩みを抱えている時とか、いち早く気づいて声かけてくれる。この人にしか話していない悩み事がある。この人のアドバイスを通して、自分の問題を周りに根回しできたりして乗り切れたこと多数。
366,続）無駄な残業はしないし、オススメもしていない。安定して10時間程度働いており、休んでるところは見たことない。理解力が高くて共感力が低め。察する能力が高いんだけど、察しすぎてちょっと違ったりする。一緒に仕事していてとてもためになるんだけど、厳しすぎてたまにかなりキツい。
367,上司１。とても優しいんだけど甘いところが全然ない。自分にも他人にも完全に厳しい。アドバイスが的確で建設的で具体的。自分の技術的な成長はこの人に寄るものが大きいと思う。先入観は割と強めで、考え方は保守的。
368,スマホ、生き返った
369, そろそろあったかいね！！！
370,ゆるきゃんしたい
371,かぐやるなちゃんかわいい
372,ぞわぞわするw
373,贈り物がしたいという意味です
374,体調が安定しなくて、必要なときに身体を動かせる自信が持てないから、せめてお金を出して気持ち以上の何かを届けさせてほしいと最近思うようになった
375, 完全同意
376, 水曜日やすみになってほしすぎるよー
377,ほんとうにこれ　
378, 甲府行ってみたい！
379, 真っ暗だと味が無になるかも
380,スマホ、しんだ
381, moumoonのCD買えてオメシュw
382, ありがとう〜〜。だくちゃんもオメシュ
383, ストロングガールよ。おつかれさまだよ。
384,某サービスが無事リリースしたから、さわってみてーって言いたいんだけど言えないからうずうずするー
385, えらい
386,倒れないことだけを考えて意思決定をして一年くらいになるが、それでもちょこちょこ倒れるから、報われないし、虚しいねぇ。
387,金夜〜土曜日で20時間くらい作業に充てたい。でも、そんなことをしたら、週のどこかで倒れてしまう‥‥‥‥。体力欲しい
388,なんだかヘトヘトだ
389,今日電車内から六本木のにおいがする
390,もっと元気になりたいなあ
391,決められない人にいらいらするのって、自分が決められない人だからだよな
392,最近好きな漫画
393,困ったら当たり前に助けてもらえる経験が大きい気がする
394,これわかるなぁ。無邪気で、罪を憎んで人を憎まずを体現した人が多い。みんなじゃないけど、でも多い。妬んだり恨んだり疑ったりするようなところが全然ない
395, カフェ付きホステル多くて旅行気分になれるよー一緒に泊まろー
396, エアビーじゃないけど、ホステルだよ！ドミトリー
397, 職場近く、1000円台で泊まれる安宿多いから助かってるよー。もう趣味だよねww
398, そんなでもないけど、家に帰るの飽きちゃったりするから‥‥笑
399, 気まぐれホームレスかもw
400,家に帰るのにハマってる
401,最近家に帰るブームがきてる
402,天使すぎる
403,部長、会議入ってない時間が二週間先まで1日30分くらいしかなくてこわい
404,引き抜きの話をするときの顔と、好きな子に告白するときの顔は、とても似ている気がした
405,働きすぎて目がチカチカする
406,はたらきすぎた
407,飲みに行きた
408,というか私が長すぎ。平日8~9時間、土日12時間以上はお布団確保しないと動けないんだけど、みんな体力があるなぁ
409,いつそんな時間を作っているんだと見ていて思う人、今のところ全員睡眠時間が短い。そういうことである。
410,真面目に見えないよう見えないように生きてて、その辺が全然だめ
411,心のどこかで、真面目なことが恥ずかしいと思っている自分がいて、それが私の人生をだめにしていると思う
412, とてもかっこよくてセンスいい。そしておおつかといえば紅の豚。しかも蓋付き！完璧！！
413, 紅の豚だ！！
414,かああああっこいい
415,ふつくしい
416,お腹が空いたからごはんを食べたい→お腹が空きすぎて動けない  の悪循環に陥ってしまいがち
417,華金 
418,鼻がいいので、隣の人が臭いとかなりキツい
419, はじめまして。フォローリクエストありがとうございます。承認遅くなりすみませんでした。。culon応援してます！よろしくお願いいたします〜
420,13インチ、16GB、core i5でいいかなぁ。1kg台前半までが良い
421, わかる
422, 八王子の貫禄な！でかいの作りましたよ 
423, 1年分の雪だるま作ったよ！！！はむさんのとこは雪大丈夫？？
424,ザクとネコ 
425,八王子、よく積もってる 
